  ;Epice;Capiteux;Fruite;Vert;Vanille;Notes.florales;Boise;Agrume;Fraicheur.marine;Gourmand;Oriental;Enveloppant
Angel;3.90000000000001;7.84166666666668;1.92083333333333;0.112499999999997;7.18333333333333;2.49166666666666;1.175;0.408333333333334;0.141666666666665;7.8875;4.75833333333334;7.55
Aromatics Elixir;6.30416666666667;8.30833333333333;0.612500000000005;0.516666666666668;1.82083333333333;4.29583333333334;2.6375;0.604166666666668;0.0916666666666657;0.341666666666665;7.45;7.72083333333333
Chanel n5;3.73333333333334;8.21250000000001;1.05839622641511;0.437499999999999;1.80697061658152;6.15;0.950000000000002;0.929166666666668;0.149999999999999;0.625000000000004;6.37916666666667;7.84583333333333
Cinema;1.08333333333334;2.19583333333333;5.12500000000001;0.212499999999999;4.8625;5.55;1.01666666666667;1.05;0.587499999999999;4.37500000000001;2.87083333333334;5.5710534591195
Coco Madmoiselle ;0.912499999999995;1.14166666666666;5.06250000000001;0.779166666666664;1.95;7.97500000000001;0.804166666666666;1.24166666666667;0.662499999999998;2.93750000000001;3.0875;4.79583333333334
Jadore EP;0.262499999999995;1.17916666666666;6.40416666666666;1.5625;0.466666666666666;8.40000000000001;0.912499999999999;2.16666666666667;1.025;1.3;1.13749999999999;3.56666666666667
Jadore ET;0.34166666666666;1.28749999999999;5.625;1.48333333333333;0.879166666666659;8.17916666666668;0.875;1.57500000000001;0.275000000000005;1.85833333333333;0.916666666666652;3.32500000000001
Linstant;0.737499999999996;2.28333333333333;3.84166666666667;0.295833333333331;4.8875;7.38333333333334;0.975;0.70833333333333;0.683333333333333;3.37916666666667;3.05;5.65416666666667
Lolita Lempicka;1.4;4.40833333333333;3.35;0.491666666666664;8.07916666666667;3.02500000000001;0.708333333333335;0.812500000000001;0.145833333333332;9.15416666666665;3.68333333333333;7.63750000000001
Pleasures;0.491666666666668;0.912500000000003;4.4625;3.25000000000001;0.211318442668484;8.25;0.708333333333335;1.60833333333333;1.15314465408805;0.670833333333336;1.04166666666667;2.625
Pure Poison;1.6625;1.89583333333333;3.54583333333334;0.629166666666666;2.05228947524811;7.22916666666667;1.34583333333333;0.600000000000002;0.570833333333331;1.49166666666667;2.39583333333334;5.21666666666667
Shalimar;6.1625;7.8875;0.924999999999999;0.391053459119494;3.24583333333333;4.49583333333333;2.92083333333333;0.883333333333334;0.133333333333331;1.0625;7.62083333333334;7.33333333333334
